Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
The Economic Times,https://www.youtube.com/watch?v=JW7iyZFQdY0,India-Armenia arms deal amid the coming together of '3 Brothers,0:04:00,0,4,0,240,Hindi,News,10616,153,144,124,117,1340003,10/6/2022,12/17/2015,News,Rajasthan ,344835808,7,7,Yes,Yes,Trustable,Pardeep
The Economic Times,https://www.youtube.com/watch?v=_mFC_fhyXjQ,HCL Tech Q2 Results: Profit up 7% YoY; firm declares interim dividend of Rs 10 per share,0:03:30,0,3,30,210,Hindi,News,601,17,283,11,183,1340002,10/12/2022,12/17/2015,News,Rajasthan ,344835807,8,8,Yes,Yes,Not Trustable,Pardeep
The Economic Times,https://www.youtube.com/watch?v=cEXyiYv0ApQ,Amazon's Great Indian Festival sale finale: Some heavily discounted gadgets you may find attractive,0:02:28,0,2,28,148,Hindi,News,4647,16,34,1,2,1340000,10/17/2022,12/17/2015,News,Rajasthan ,344835805,4,6,No,Yes,Not Trustable,Pardeep
The Economic Times,https://www.youtube.com/watch?v=VhENwuIXlu0,BSF captures drone carrying drugs in Amritsar border,0:00:51,0,0,51,51,Hindi,News,93,1,108,1,108,1340001,10/17/2022,12/17/2015,News,Rajasthan ,344835806,5,4,No,Yes,Not Trustable,Pardeep
The EPIC Channel,https://www.youtube.com/watch?v=nveNOyh86EE,Symbolism and Stories of Amrit Manthan,0:05:24,0,5,24,324,Hindi,Lifestyle,135459,3000,221,69,5,1200000,2/22/2019,12/26/2013,Lifestyle,Maharashtra,126118848,10,8,Yes,Yes,Trustable,roshan kumar sinha
The Fashion Verge,https://www.youtube.com/watch?v=ieVUpkOYkUY, HIGH Testosterone Vs LOW Testosterone | What Do You Have? | In Telugu ,0:07:24,0,7,24,444,Telugu,Lifestyle,62902,6900,1097,318,51,860000,7/6/2022,9/13/2015,Lifestyle,Not Available,159252113,5,7,No,Not Required,Trustable,Srikrishna
The Fashion Verge,https://www.youtube.com/watch?v=kG0WIWejLeY,You Only Need These 6 PANTS??For College,7:24:00,7,24,0,"26,640",Telugu,Health,92800,10900,1175,255,27,851000,10/14/2022,9/13/2015,Lifestyle,Andhra Pradesh,156555112,6,5,No,Not Required,Not Trustable,Sai Prateek
The Formal Edit,https://www.youtube.com/watch?v=T0hdlyRFGCo, 10 Hacks for ATTRACTIVE OVERALL Personality *SEXY* | Improve personality| How to be more confident ,0:06:44,0,6,44,404,Hindi,Lifestyle,1147405,76000,662,1300,11,4080000,9/29/2021,1/19/2019,Lifestyle,Not Available,1843332384,4,6,No,Not Required,Trustable,Srikrishna
The Gabru Life,https://www.youtube.com/watch?v=zzieQ5Lew1M,HOW TO DRESS UP FOR A WEDDING | IMPRESS any WOMAN at INDIAN Wedding urban gabru,0:11:24,0,11,24,684,Hindi,Lifestyle,4536966,97000,214,2109,5,1300000,7/12/2018,10/17/2016,Lifestyle,Delhi,101460805,8,8,No,Not Required,Not Trustable,Utsav Tiwary
The Gabru Life,https://www.youtube.com/watch?v=XurzleCN-jM,5 FAADUUU hairstyles 2020 me AAG lagane ke liye ?? | Best hairstyles for men/boys 2020,0:05:06,0,5,6,306,Hindi,Lifestyle,481580,18000,374,433,9,1300000,1/28/2020,10/17/2016,Lifestyle,Not Available,101395031,8,7,No,Not Required,Trustable,Srikrishna
The Hindu BusinessLine,https://www.youtube.com/watch?v=oKOGc4fXu8M,LatentView Analytics CEO Rajan Sethuraman bullish on growth of data analytics sector,12:35:00,12,35,0,"45,300",English,News,689,31,450,1,15,44600,10/14/2022,10/6/2011,News,Tamil Nadu,7383612,10,10,Yes,Yes,Trustable,Sai Prateek
The Man Style,https://www.youtube.com/watch?v=hekoCxOOMlU,How To Make Pinterest Pin Canva | How To Design Pinterest Pin In Canva,0:15:31,0,15,31,931,Bengali,Lifestyle,5476,32,58,0,0,201000,8/12/2022,9/12/2018,Lifestyle,West Bengal,43741,6,6,No,Not Required,Not Trustable,Utsav Tiwary
The Mix,https://www.youtube.com/watch?v=Ny1PL-PLA6o,Surya is Back || Happy Birthday Surya || Suryakantham || The Mix By Wirally |Tamada Media,0:14:07,0,14,7,847,Tamil,Entertainment,6973053,54000,77,2749,4,1990000,7/11/2021,8/14/2019,Entertainment,Delhi,721712590,8,8,No,Not Required,Not Trustable,Utsav Tiwary
The mridul,https://www.youtube.com/watch?v=G5bkqavy2AQ,Hamare Kirayedaar | the mridul | Pragati | Nitin,0:20:47,0,20,47,"1,247",Hindi,Entertainment,10418272,297000,285,11556,11,13500000,9/26/2022,3/14/2015,Entertainment,Uttar Pradesh,3773592167,8,8,No,Not Required,Trustable,Utsav Tiwary
The Quiet Barbershop,https://www.youtube.com/watch?v=5wEu2GRQ9cs,ASMR INDIAN Head Massage,0:15:25,0,15,25,925,Hindi,Health,14,3,2143,0,0,158000,9/6/2022,12/21/2020,Lifestyle,Not Available,59784316,5,9,Yes,Not Required,Not Trustable,Subha Ranjan Patra
The Quint,https://www.youtube.com/watch?v=h1bv9lbNJuA,Why Are So Many Young People Dying of Heart Attacks?,5:43:00,5,43,0,"20,580",English,Health,258800,5977,231,932,36,3460000,9/20/2022,11/28/2018,News,Delhi,1309426610,10,10,Yes,Yes,Trustable,Sai Prateek
The Rawknee Games,https://www.youtube.com/watch?v=7h6gw6BUyAc,I Bought The Weirdest Gaming Keyboard On Amazon,0:25:13,0,25,13,"1,513",Hindi,Entertainment,535668,55000,1027,802,15,3760000,10/15/2022,4/4/2017,Entertainment,Maharashtra,672610526,6,9,No,Yes,Trustable,Manas Ramuka
The RawKnee Show,https://www.youtube.com/watch?v=0o5Zdm47neU,THE MOST SASTA EDITING IN HISTORY,0:09:30,0,9,30,570,Hindi,Entertainment,346836,45000,1297,913,26,1820000,10/7/2022,6/14/2015,Review,Maharashtra,160629977,7,9,Yes,Not Required,Not Trustable,roshan kumar sinha
The Satya Show,https://www.youtube.com/watch?v=ayQxFgGn3qo,Faker | Viral Fuddu,0:11:18,0,11,18,678,Hindi,Entertainment,866241,41000,473,1480,17,619000,11/25/2018,9/3/2011,News,Maharashtra,105128410,7,7,No,Not Required,Not Trustable,Utsav Tiwary
The Street Chef,https://www.youtube.com/watch?v=XbMHXqo4DTw,Best pav baji | making of 100+ plates,0:21:32,0,21,32,"1,292",Hindi,Cooking,20458,209,102,16,8,959000,10/13/2022,11/10/2017,Vlog,Not Available,225256705,5,8,Yes,Yes,Trustable,Praneeth kodam
The Time Liners,https://www.youtube.com/watch?v=r38sETeHK3w,In Love With Your Best Friend? | Just Couple Things | The Timeliners,0:10:16,0,10,16,616,Hindi,Entertainment,18731408,6370000,3401,26415,14,7220000,1/12/2018,1/2/2014,Entertainment,Delhi,1015848038,10,10,No,Not Required,Trustable,Himanshi
The Time Liners,https://www.youtube.com/watch?v=M0oZG60WD9Y,Engineering Girls | Web Series | S01E01 - Practical File | The Timeliners,0:18:47,0,18,47,"1,127",Hindi,Entertainment,16975550,314000,185,9984,6,7220000,6/1/2018,2/1/2014,Entertainment,Delhi,1016548300,8,8,No,Not Required,Trustable,Utsav Tiwary
The Time Liners,https://www.youtube.com/watch?v=72ril3izxNc,Indians and Parking,0:05:45,0,5,45,345,Hindi,Entertainment,538987,24000,445,687,13,7220000,9/20/2022,2/1/2014,Entertainment,Delhi,1014048514,10,10,Yes,Yes,Trustable,roshan kumar sinha
The Time Liners,https://www.youtube.com/watch?v=xpfSmuhGkoA,Baap Beta Aur Office,0:18:18,0,18,18,"1,098",Hindi,Entertainment,276654,14000,506,238,9,7220000,10/14/2022,2/1/2014,Lifestyle,Not Available,1016128493,7,6,No,Not Required,Trustable,Jayita Mali
The Traditional Life,https://www.youtube.com/watch?v=ws74tX21j28,Soft Idli With Idli Sambar & 2 Chutneys,0:18:00,0,18,0,"1,080",Telugu,Cooking,735482,14000,190,945,13,841000,10/16/2022,12/9/2021,Cooking,Not Available,118612152,8,9,No,Not Required,Trustable,Subha Ranjan Patra
The UK07 Rider,https://www.youtube.com/watch?v=js3Lq2YW7GU,Aakhir Apni New Superbike Hayabusa Lane Ki Good News Mil Gayi Lekin Ladai Hogai,0:20:16,0,20,16,"1,216",Hindi,Entertainment,980374,76000,775,4400,45,3000300,9/15/2022,10/22/2016,Entertainment,Not Available,326017321,7,7,No,Not Required,Trustable,Manya Tyagi
The Urban Guide,https://www.youtube.com/watch?v=sd_oFOPKhh4,Trying shark tank india products!,0:13:01,0,13,1,781,Hindi,Review,1276386,48000,376,527,4,296000,2/8/2022,2/16/2021,Tech,Not Available,41324090,5,5,No,Not Required,Not Trustable,Praneeth kodam
The Viral Fever,https://www.youtube.com/watch?v=JWbnEt3xuos,Kota Factory - EP 01 - Inventory,0:47:42,0,47,42,"2,862",Hindi,Entertainment,60284664,1400000,232,50697,8,11300000,4/16/2019,3/15/2011,Entertainment,Maharashtra,1721979226,8,8,No,Not Required,Trustable,Utsav Tiwary
The Viral Fever,https://www.youtube.com/watch?v=mAQHfGtx3ho,TVF's Imaandar Sharma with Kartik Aaryan & Sara Ali Khan,0:07:54,0,7,54,474,Hindi,Employment,4858907,219000,451,4260,9,11300000,2/13/2020,3/15/2011,Entertainment,Maharashtra,1720554341,10,9,Yes,Yes,Trustable,roshan kumar sinha
The Viral Fever,https://www.youtube.com/watch?v=PSblBluOQf8,"Indian Cricket Dressing Room Vlog ft. Dhoni, Kohli and Pandya | TVF",0:07:12,0,7,12,432,Hindi,Entertainment,3392805,221000,651,5699,17,11300000,9/10/2022,3/15/2011,Entertainment,Not Available,1722475559,9,9,No,Not Required,Trustable,Manya Tyagi
The Viral Fever,https://www.youtube.com/watch?v=VwK1hmPH_e8,TVF Tripling - Season 3 | Official Trailer | Premieres 21st Oct 2022 on ZEE5,0:02:14,0,2,14,134,Hindi,Entertainment,1141080,43000,377,1693,15,11300000,10/7/2022,3/15/2011,Entertainment,Not Available,1672029755,10,10,No,Yes,Trustable,Ayush Chakraborthy
The Viral Fever,https://www.youtube.com/watch?v=PqEp2tNU60E,TVF Tripling | Truth or Dare With Siblings,0:09:06,0,9,6,546,Hindi,Entertainment,524626,18000,343,303,6,11300000,11/10/2022,3/15/2011,Lifestyle,Not Available,1721979226,7,7,No,Not Required,Trustable,Jayita Mali
The whiskeypedia,https://www.youtube.com/watch?v=HtH3CJopAY4,Best Way to Drink Whisky | How to drink Whisky | The Whiskeypedia,0:13:07,0,13,7,787,Hindi,Lifestyle,12736,459,360,85,67,82400,9/16/2022,4/24/2012,Review,Punjab,13774930,10,10,Yes,Yes,Trustable,Ayush Chakraborthy
The whiskeypedia,https://www.youtube.com/watch?v=xO6Mp8uhkVg,Spanish Wine  INDIAN market | Radio Boka Red Wine Review | The Whiskeypedia,3:38:00,3,38,0,"13,080",Hindi,Lifestyle,2862,162,566,21,73,82400,10/13/2022,4/24/2012,Review,Punjab,13774930,9,9,No,Yes,Trustable,Ayush Chakraborthy
Think School,https://www.youtube.com/watch?v=K7uvd1Muc80,This BUSINESS STRATEGY turned Wow Momo into a 1000Cr company?,0:13:13,0,13,13,793,Hindi,Lifestyle,567983,23000,405,996,18,2430000,11/5/2021,2/27/2020,Lifestyle,Maharashtra,147776056,10,10,Yes,Yes,Trustable,roshan kumar sinha
Think School,https://www.youtube.com/watch?v=-MB6FdKyJmg,How Zepto/Dunzo's BUSINESS STRATEGY is CRUSHING Dmart and Reliance? : Retail Business War EXPLAINED,14:36:00,14,36,0,"52,560",Hindi,Educational,795744,28000,352,1661,21,2530000,9/8/2022,2/27/2020,Lifestyle,Not Available,154973491,6,8,Yes,Yes,Trustable,Diya Kalra
Think School,https://www.youtube.com/watch?v=ST53gYEX_nY,What Schools don’t teach you about Chhatrapati Shivaji Maharaj? : Case study,0:14:22,0,14,22,862,English,Educational,582634,34000,584,2719,47,2450000,9/10/2022,2/27/2020,Educational,Not Available,149170985,4,6,Yes,Yes,Trustable,Sagar Mali
