Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
"
Aakash Gupta",https://www.youtube.com/watch?v=PTIaBLtp4R8,Dogs,0:07:41,0,7,41,461,Hindi,Entertainment,26769022,1300000,486,18058,7,3390000,10/27/2019,9/13/2016,Entertainment,Delhi,273541629,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
Abhijit Chavda",https://www.youtube.com/watch?v=GVlamZ-Qkic,Ukraine: Will Putin Go Nuclear? WW3?,0:05:58,0,5,58,358,English,Entertainment,26660,1600,600,140,53,451000,10/11/2022,12/30/2019,Lifestyle,Gujarat,38467836,6,6,Yes,Yes,Trustable,roshan kumar sinha
"
All India Bakchod",https://www.youtube.com/watch?v=oPp4htuqDOs,AIB : Honest Engineering Campus Placements,0:11:06,0,11,6,666,Hindi,Entertainment,14868611,356000,239,6545,4,3990000,6/19/2017,1/30/2012,Entertainment,Maharashtra,603987498,8,9,No,Not Required,Trustable,roshan kumar sinha
"
Ankit Bhatia",https://www.youtube.com/watch?v=VyLC6hRIXxU,How winter Feels like in Himachal?,0:01:04,0,1,4,64,Hindi,Lifestyle,64740,7000,1081,399,62,811000,10/1/2017,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=4CzgM9PNvew,WHO AM I ? What do I do? My Education ? How much I Earn ? Ankit Bhatia,0:17:36,0,17,36,"1,056",Hindi,Lifestyle,380567,18000,473,899,24,811000,12/5/2018,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=fCAEz66lDc4,How I color grade to create moody videos,0:20:00,0,20,0,"1,200",Hindi,Lifestyle,179676,8100,451,384,21,811000,7/1/2021,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=X86JUbrXsg8,7 CINEMATIC CAMERA GIMBAL shots | DJI RS3,0:07:52,0,7,52,472,Hindi,Lifestyle,641671,20000,312,477,7,811000,7/25/2022,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=iRFiwsBjVTs,NANEMACHI Waterfall - The best Monsoon Trek in Maharashtra | Varandha Ghat | @JeevanKadamVlogs,0:23:55,0,23,55,"1,435",Hindi,Lifestyle,213895,12000,561,894,42,811000,8/12/2022,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Anuj Bucket",https://www.youtube.com/watch?v=Spy6L_9dcKE,"Top 25 places to visit in Ladakh | Timings, tickets and complete travel guide of Ladakh",0:33:25,0,33,25,"2,005",Hindi,Educational,343543,5600,163,458,13,125000,6/7/2022,9/21/2015,Vlog,Delhi,22463944,9,10,No,Not Required,Trustable,roshan kumar sinha
"
Be YouNick",https://www.youtube.com/watch?v=pAGHYnoKyY8,BYN : The Mass Cheating,0:11:13,0,11,13,673,Hindi,Entertainment,14943362,542000,363,8256,6,4550000,7/12/2019,8/26/2014,Entertainment,Maharashtra,843555681,9,10,Yes,Yes,Trustable,roshan kumar sinha
"
Bhavika Motwani",https://www.youtube.com/watch?v=egMem5G9XYs,BTS of Sasta Shaark Tank,0:10:57,0,10,57,657,Hindi,Music,894400,42000,470,485,5,18000,3/24/2022,1/1/2022,Lifestyle,Maharashtra,1208916,9,9,Yes,Not Required,Not Trustable,roshan kumar sinha
"
BigBrainco.",https://www.youtube.com/watch?v=qTNW71rQ4go,75 Years of Independence is a LIE?,0:10:23,0,10,23,623,Hindi,Educational,219346,23000,1049,1876,86,886000,8/15/2022,1/20/2021,Lifestyle,Maharashtra,92689993,7,8,Yes,Yes,Trustable,roshan kumar sinha
"
CodeWithHarry",https://www.youtube.com/watch?v=gfDE2a7MKjA,Python Tutorial For Beginners In Hindi,11:52:23,11,52,23,"42,743",Hindi,Educational,17445615,516000,296,108772,62,3350000,9/24/2020,4/28/2018,Tech,Uttar Pradesh,408922163,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
Get Curried",https://www.youtube.com/watch?v=a03U45jFxOI,How To Make Butter Chicken At Home | Restaurant Style Recipe,0:05:28,0,5,28,328,English,Cooking,39178932,530000,135,13196,3,2460000,3/23/2016,1/7/2014,Cooking,Maharashtra,307573717,9,10,Yes,Yes,Trustable,roshan kumar sinha
"
Halka Tech",https://www.youtube.com/watch?v=2UwrVvhuhfg,Top 6 Weird Gadgets !,0:10:04,0,10,4,604,Bengali,Educational,119965,12000,1000,531,44,128000,10/12/2022,1/11/2022,Tech,West Bengal,9601548,9,8,Yes,Not Required,Not Trustable,roshan kumar sinha
"
Himanshu Dulani",https://www.youtube.com/watch?v=6jJ1Q0uyfP8,Tere Liye - Prince || Himanshu Dulani Dance Choreography,0:01:42,0,1,42,102,Hindi,Entertainment,13604577,447000,329,14027,10,1000000,3/9/2021,11/13/2012,Lifestyle,Madhya Pradesh,154611618,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
IGNITED MINDS",https://www.youtube.com/watch?v=wzT403sa5oE,Epsilon Delta Definition of Limit,0:22:46,0,22,46,"1,366",Hindi,Educational,356117,11000,309,690,19,129000,6/4/2019,6/2/2019,Educational,Uttar Pradesh,9562871,10,8,Yes,Yes,Trustable,roshan kumar sinha
"
Indian Army is Best",https://www.youtube.com/watch?v=hKYndC0F0BA,Longewala Documentary | INDIAN ARMY | 1971,0:15:05,0,15,5,905,Hindi,Lifestyle,1887188,48000,254,1501,8,23800,12/8/2021,9/12/2020,News,Not Available,2833961,9,10,Yes,Yes,Trustable,roshan kumar sinha
"
Indian Diplomacy",https://www.youtube.com/watch?v=7z9NUV_YrOo,The Quantum Indians,0:52:01,0,52,1,"3,121",English,Lifestyle,459031,8100,176,494,11,147000,7/30/2013,7/12/2010,News,Delhi,23650254,9,10,Yes,Yes,Trustable,roshan kumar sinha
"
Indian Traveller",https://www.youtube.com/watch?v=Qipxi1Qn8iE,Manali Tourist Places | Manali tour guide for 2022,0:09:03,0,9,3,543,Hindi,Lifestyle,3591427,44000,123,930,3,54400,5/19/2022,3/31/2021,Vlog,Delhi,9352406,10,10,No,Not Required,Trustable,roshan kumar sinha
"
JayantJoshiMusic",https://www.youtube.com/watch?v=X5RzfTm2Jcc,The Love Mashup,0:03:02,0,3,2,182,Hindi,Entertainment,1329220,72000,542,2018,15,134000,5/21/2021,12/25/2016,Music,Maharashtra,11844195,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
Khooni Monday",https://www.youtube.com/watch?v=tGYIg-mSWno,India's Most Haunted Village - Bemni,0:08:48,0,8,48,528,Hindi,Lifestyle,1251733,46000,367,1330,11,3090000,9/19/2022,8/29/2018,Lifestyle,Not Available,415351246,7,6,Yes,Yes,Trustable,roshan kumar sinha
"
Kritika Khurana",https://www.youtube.com/watch?v=Vc9IpyuoYH0,Aesthetic Amazon Home decor Haul,0:11:31,0,11,31,691,Hindi,Entertainment,487474,26000,533,741,15,761000,6/28/2022,8/2/2014,Lifestyle,Delhi,159066663,10,7,Yes,Yes,Trustable,roshan kumar sinha
"
Mahakatha - Meditation Mantras",https://www.youtube.com/watch?v=Jy5o66NXgVs,POWERFUL SHIVA mantra to remove negative energy - Shiva Dhyana Mantra,0:11:06,0,11,6,666,Sanskrit,Educational,11343709,155000,137,4533,4,1270000,3/8/2021,11/22/2011,Lifestyle,Not Available,255851770,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
Mirza Creation 5",https://www.youtube.com/watch?v=09FMo_VW61E,Arijit Singh ?? heart broken Lo-fi song relaxed ?? mind release depression ??,0:05:05,0,5,5,305,Hindi,Entertainment,2053,0,0,12,58,99400,10/13/2022,6/9/2018,Lifestyle,Not Available,2266795,1,2,Yes,Not Required,Not Trustable,Subha Ranjan Patra
"
NeuzBoy",https://www.youtube.com/watch?v=kIH1Ao31nYk,"CarryMinati Gets Emotional After His Performance at Social Nation 2019, Mumbai | Jio Garden
",0:03:24,0,3,24,204,Hindi,Vlog,4991121,259000,519,2611,5,1080000,10/21/2019,10/3/2019,News,Assam,300955985,10,10,No,Not Required,Trustable,Himanshi
"
Nimbus Education",https://www.youtube.com/watch?v=cGY4wsVBsD0,What you didn't know about Dark Energy? It gets CREATED?,0:13:48,0,13,48,828,Hindi,Educational,50533,4400,871,462,91,98600,6/24/2021,2/25/2017,Educational,Rajasthan ,6208719,8,9,Yes,Yes,Trustable,roshan kumar sinha
"
Oaktree Sports",https://www.youtube.com/watch?v=1J0o3v8ptHY,"Virat Kohli On Dressing Room Music, Dhawan's Humour, his Salesman Skills & Dhoni",0:20:43,0,20,43,"1,243",Hindi,Employment,29539335,644000,218,11169,4,1740000,11/3/2017,1/14/2017,Employment,Maharashtra,381833593,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
PW Emotions",https://www.youtube.com/watch?v=cwb2fqa2lgE,My Real Story of BHANGARH FORT (Haunted) ,0:11:35,0,11,35,695,Hindi,Lifestyle,1601371,81000,506,2556,16,209000,9/18/2022,11/17/2021,Educational,Not Available,51732894,5,7,No,Not Required,Trustable,roshan kumar sinha
"
Sarp Rakshak Sandeep Joshi",https://www.youtube.com/watch?v=Jw_JYjlRFTQ,Extracted Naagmani,0:11:54,0,11,54,714,Hindi,Educational,17906177,205000,114,6917,4,464000,8/14/2021,2/28/2019,Lifestyle,Jharkhand,281209388,3,8,Yes,Yes,Trustable,roshan kumar sinha
"
Tech Burner",https://www.youtube.com/watch?v=rfm7Yp9nG-s,Google Pixel 7 & 7 Pro Unboxing,0:10:21,0,10,21,621,Hindi,Review,317064,35000,1104,1585,50,9560000,10/12/2022,9/26/2014,Tech,Delhi,1391291723,9,10,Yes,Yes,Trustable,roshan kumar sinha
"
Technology & Myths",https://www.youtube.com/watch?v=sPYEgUypQoY,How Scientists Measured The Speed of Light [ Hindi ],0:11:33,0,11,33,693,Hindi,Educational,631945,20000,316,409,6,1450000,8/26/2021,11/22/2016,Educational,Uttar Pradesh,155980216,7,6,Yes,Not Required,Not Trustable,roshan kumar sinha
"
THE HINDU SAGA",https://www.youtube.com/watch?v=61SwXK-Ffak,Eight Divine Children Of Shiva,0:12:56,0,12,56,776,English,Educational,449258,10000,223,469,10,212000,2/10/2022,12/5/2019,Entertainment,Not Available,18979466,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
The RawKnee Games",https://www.youtube.com/watch?v=15IypzP2_is,I BECAME SPIDERMAN IN MINECRAFT,0:40:12,0,40,12,"2,412",Hindi,Entertainment,563737,35000,621,579,10,3760000,8/17/2022,4/4/2017,Entertainment,Maharashtra,670907382,9,10,No,Not Required,Trustable,roshan kumar sinha
??? Talks,https://www.youtube.com/watch?v=VPA7v2iohBY,Ankur Warikoo ?? ???? Success Secrets | MUST WATCH For Everyone,0:18:56,0,18,56,"1,136",Hindi,Employment,1484292,77000,519,2111,14,8300000,10/4/2020,7/13/2017,Employment,Delhi,785448581,9,9,No,Not Required,Trustable,Abhishek Sabne
??? Talks,https://www.youtube.com/c/JoshTalksHindi,https://www.youtube.com/watch?v=IJN2vN3kEO0,0:25:56,0,25,56,"1,556",Hindi,Lifestyle,5945168,98000,165,4545,8,8300000,4/7/2022,7/13/2017,Vlog,Not Available,785662796,10,10,No,Not Required,Trustable,Mahesh
??? Talks,https://www.youtube.com/watch?v=WVuy2xtJ21c,??????? ???? ?? ??? ??? ??????? ?? ????? ?? | Must Watch | Vanashree Pandey | Josh Talks Hindi,0:12:47,0,12,47,767,Hindi,Lifestyle,310864,6400,206,302,10,8300000,7/10/2022,7/13/2017,Vlog,Not Available,785662796,10,10,No,Not Required,Trustable,Mahesh
??? Talks,https://www.youtube.com/watch?v=W1Vq58bKfTI,2022-23 ??? ????? Successful ???? ?? ??? ????? 4 ????? ????? ???? |Amogh Lila Prabhu |Josh Talks Hindi,0:17:17,0,17,17,"1,037",Hindi,Lifestyle,465961,24000,515,773,17,8300000,10/2/2022,7/13/2017,Vlog,Not Available,785662796,10,10,No,Not Required,Trustable,Mahesh
?????? ?????- Tamil Stories,https://www.youtube.com/watch?v=6sy3M1LxKYw,?????? ???? | Magical Basket Story | Stories with Moral in Tamil | Tamil Short Stories,0:13:43,0,13,43,823,Tamil,Entertainment,6831274,31000,45,0,0,1130000,10/30/2019,6/30/2014,Entertainment,Tamil Nadu,276427954,10,10,No,Not Required,Trustable,Lydia
100marks,https://www.youtube.com/watch?v=URHCICLqslI,Learn Python In Tamil - Online Course For Beginners By Ancy - [ Episode-1 ] Python Introduction,0:06:54,0,6,54,414,Tamil,Educational,498504,19000,381,482,10,45400,11/15/2019,11/12/2019,Tech,Tamil Nadu,1041547,8,8,Yes,Yes,Trustable,Imran Khan
1313 Records,https://www.youtube.com/watch?v=MS16Bc5AVfw,"pata laga tenu shonk phulan da, Kaka new song, pata laga tenu shonk fula da kaka song",0:06:04,0,6,4,364,Punjabi,Music,6022339,62000,103,830,1,113000,9/10/2022,7/21/2022,Music,Punjab,39236007,10,10,No,Not Required,Trustable,Mahesh
1313 Records,https://www.youtube.com/watch?v=kBwokJjCGIo,Mehndi : Kaka (Official Video) Kaka New Song | Latest Punjabi Songs 2022 | New Punjabi Songs 2022,0:05:07,0,5,7,307,Punjabi,Music,765116,14000,183,165,2,113000,10/8/2022,7/21/2022,Music,Punjab,39236007,10,10,No,Not Required,Trustable,Mahesh
2 Brother Vlogs,https://www.youtube.com/watch?v=u4VLOjkH1qo,Who is it for?? | 13 lakhs for a scooter | Test ride of BMW C400GT | Scooter not for the Masses,12:51:00,12,51,0,"46,260",English,Review,65000,1753,270,95,15,92500,9/28/2022,1/25/2020,Review,Andhra Pradesh,19157570,10,10,Yes,Yes,Trustable,Sai Prateek
200Journeys,https://www.youtube.com/watch?v=PXbn-VmjGM0,The British Pullman - England’s Most Luxurious Train Journey,18:28:00,18,28,0,"66,480",Hindi,Lifestyle,170500,8759,514,360,21,740000,10/9/2022,9/7/2017,Vlog,Maharashtra,117881064,8,7,No,Not Required,Not Trustable,Sai Prateek
20Mins Walk : Indian Doctor Channel,https://www.youtube.com/watch?v=4rUktRipN4U,What Happens When You Quit Smoking Cigarettes | [Help Stop Smoking] - In Hindi,0:12:28,0,12,28,748,Hindi,Health,507,35,690,34,671,901,9/19/2022,4/6/2021,Health,Delhi,52634,9,9,Yes,Yes,Trustable,Imran Khan
24 Tamil - Health,https://www.youtube.com/watch?v=MbJ4rwF6VWw,Wrong habits which we do thinking its right - Tamil Health Tips,0:05:43,0,5,43,343,Tamil,Health,1841721,18000,98,1245,7,1040000,1/5/2017,1/1/2016,Health,Tamil Nadu,104688341,8,7,No,Not Required,Not Trustable,Lydia
5G Prank,https://www.youtube.com/watch?v=9ixt9xo8i9Q,Update viral train horn prank 2021 ,0:05:17,0,5,17,317,Hindi,Entertainment,11617074,201000,173,2000,2,308000,10/17/2021,7/19/2020,Entertainment,Not Available,83036359,5,5,Yes,Yes,Trustable,Praneeth kodam
5monkey Food,https://www.youtube.com/watch?v=OjgR6l4UMoo,Original guntur subani mutton biryani,0:10:51,0,10,51,651,Telugu,Cooking,103264,1900,184,194,19,93600,10/11/2022,1/2/2021,Vlog,Not Available,30607544,7,7,Yes,Yes,Trustable,Praneeth kodam
7 Arts,https://www.youtube.com/watch?v=mGQWptIcqD0,Sarayu Clinic 2 | 7 Arts | By SRikanth Reddy,0:09:37,0,9,37,577,Telugu,Entertainment,13620148,147000,108,2900,2,1160000,11/15/2020,3/22/2011,Entertainment,Not Available,200147730,4,5,No,Not Required,Not Trustable,Srikrishna
7Seas Entertainment Ltd,https://www.youtube.com/watch?v=bhAeQyLJaRU,National symbols of india ,0:03:46,0,3,46,226,English,Educational,2684181,13000,48,0,0,57600,10/29/2014,8/29/2011,Educational,Not Available,18803235,5,5,Yes,Yes,Trustable,Praneeth kodam
8 Bit Mamba,https://www.youtube.com/watch?v=2dcI8CCvfmc,"I Gave ?30,000 Tip to Delivery Guys",0:10:04,0,10,4,604,Hindi,Vlog,2900328,355000,1224,15335,53,1300000,1/11/2020,7/27/2011,Vlog,Uttar Pradesh,260771071,10,10,No,Not Required,Trustable,Himanshi
8 Bit Thug,https://www.youtube.com/watch?v=RLR9VcO3Stc,"FIRST EVER MAXING OUT PHARAOH SKIN || Rs.80,000 UC || LUCKIEST EVER YOUTUBER || PUBG MOBILE ||",0:19:58,0,19,58,"1,198",Hindi,Entertainment,1673543,129000,771,1840,11,1040000,4/8/2020,7/27/2018,Entertainment,Assam,76405945,10,10,No,Not Required,Trustable,Himanshi
A_S gaming,https://www.youtube.com/watch?v=WH3CIo2yPOs,GRENADE VS 49 PLAYER | ??GRENADE & LANDMINE VS 49 NOOBS WHO WILL WIN? | FREE FIRE GRENADE,0:05:54,0,5,54,354,Hindi,Entertainment,25061060,1900000,758,81913,33,18900000,8/4/2020,10/26/2016,Entertainment,Himachal Pradesh,2615486182,8,8,No,Not Required,Trustable,Utsav Tiwary
A_S gaming,https://www.youtube.com/watch?v=xUzP4qC4meM,Cracker Testing Diwali 2022 | All New Diwali Firecrackers Testing ?? Part - 3,0:13:55,0,13,55,835,Hindi,Entertainment,386454,35000,906,1056,27,18900000,10/16/2022,10/26/2016,Entertainment,Himachal Pradesh,2617011543,8,9,No,Yes,Trustable,Manas Ramuka
A23 Games,https://www.youtube.com/watch?v=83MQt80AFSg,The School of Success - A23 Rummy,0:00:10,0,0,10,10,Hindi,Entertainment,87531944,72,0,1,0,65000,8/5/2021,8/5/2020,Entertainment,Delhi,847616771,4,4,Yes,Not Required,Not Trustable,Utsav Tiwary
A24 Knowledge ,https://www.youtube.com/watch?v=FZa-manvNcI,Haryana High Court Clerk Online Form 2022 Kaise Bhare | How to Fill Haryana HC Clerk Form 2022 Apply,0:09:42,0,9,42,582,Hindi,Entertainment,1829,80,437,21,115,710000,10/16/2022,10/3/2013,Educational,Not Available,100071072,10,10,No,Not Required,Trustable,Vaishnavi
A2D Channel,https://www.youtube.com/watch?v=lQgLizpNqNs,"?? .100,000 GAMING PC BUILD | Intel i5 PC Build Tamil | Build Your Own PC",0:20:52,0,20,52,"1,252",Tamil,Review,125060,8600,688,532,43,439000,3/10/2022,7/17/2016,Review,Tamil Nadu,70203055,8,8,Yes,Yes,Trustable,Mohamad Moosa
Aadhan Food & Travel,https://www.youtube.com/watch?v=sIHlqNZucPs,Pancha kattu dosa | authentic rayalseema breakfast in hyderabad,0:22:30,0,22,30,"1,350",Telugu,Cooking,184775,1700,92,119,6,193000,10/1/2022,10/5/2018,Vlog,Not Available,63380037,7,8,Yes,Yes,Trustable,Praneeth kodam
Aaj Tak,https://www.youtube.com/watch?v=X7kzLOIsdmI,Super Brain: Watch the Amazingly awsome memorizing power of a 5 year old kid,0:11:35,0,11,35,695,Hindi,Vlog,127612406,864000,68,30065,2,53900000,9/24/2013,8/27/2009,News,Delhi,21406438710,8,8,No,Not Required,Trustable,Utsav Tiwary
Aaj Tak,https://www.youtube.com/watch?v=Y4x4-TDoVDI,Black and White: ?????? ??? '???? ?????????' ?????? | Mera Swabhimaan | Aaj Tak | Sudhir Chaudhary,0:05:14,0,5,14,314,Hindi,Vlog,1015,30,296,5,49,54000000,10/17/2022,8/27/2009,News,Delhi,21429205059,9,8,Yes,Yes,Trustable,Mahesh
Aaj Tak,https://www.youtube.com/watch?v=WOXpDqOZvKs,PM Modi LIVE: PM Modi Inaugurates ????? ?????? ??????? |'???? ????? ?????? ??????? 2022' | Live News,1:04:13,1,4,13,"3,853",Hindi,Vlog,41025,667,163,35,9,54000000,10/17/2022,8/27/2009,News,Delhi,21429205059,9,7,Yes,Yes,Trustable,Mahesh
Aakash Chopra,https://www.youtube.com/watch?v=Sv6qnvrx93w,What is this 'Yo-Yo Test'?,0:03:22,0,3,22,202,Hindi,Educational,2970983,95000,320,1812,6,3540000,6/17/2018,8/10/2011,Entertainment,Delhi,930343454,8,8,No,Not Required,Not Trustable,Utsav Tiwary
Aakash Gupta,https://www.youtube.com/watch?v=KBZfnt80s54,Sarojini Nagar | Excuse Me Brother | Stand-Up Comedy by Aakash Gupta,0:10:30,0,10,30,630,Hindi,Entertainment,28668428,1400000,488,23292,8,3400000,2/25/2021,9/13/2016,Entertainment,Delhi,274071616,10,10,No,Not Required,Trustable,Himanshi
Aanam C,https://www.youtube.com/watch?v=OH5jl0-G-OQ,"meeting Katrina Kaif, subscribers, fellow YouTubers & being exhausted",14:13:00,14,13,0,"51,180",Hindi,Entertainment,716,84,1173,12,168,258000,10/26/2022,7/26/2013,Entertainment,Not Available,55742605,6,7,No,Not Required,Not Trustable,Diya Kalra
Aashna Hedge,https://www.youtube.com/watch?v=HcTWntdTm4o,My Loved Ones React to BEFIKAR | Aashna Hegde,0:15:37,0,15,37,937,Hindi,Vlog,2465468,167000,677,16629,67,825000,8/9/2020,11/24/2010,Vlog,Maharashtra,164813069,10,10,No,Not Required,Trustable,Himanshi
Aashna Shroff,https://www.youtube.com/watch?v=yGHGixvRyQI,Learning Yao Women’s Rapunzel-like hair secret with Pantene | Aashna Shroff,0:04:50,0,4,50,290,English,Vlog,3766558,2200,6,80,0,184000,8/16/2019,11/25/2013,Entertainment,Maharashtra,10739438,10,10,No,Not Required,Trustable,Himanshi
Aayu and Pihu show,https://www.youtube.com/watch?v=p0DtOu8IsI8,ENGLISH VINGLISH | Family Comedy Challenge | Guess the Gibberish | Aayu and Pihu Show,0:17:39,0,17,39,"1,059",Hindi,Entertainment,2292873,59000,257,7514,33,16000000,10/13/2022,5/9/2017,Entertainment,Rajasthan ,8105928861,8,8,No,Not Required,Trustable,Utsav Tiwary
AbbyViral,https://www.youtube.com/watch?v=PAMEsuEhHyM,I Love Myself | Kendrick Lamar Cover Rap Song in Hindi,0:02:55,0,2,55,175,Hindi,Music,18648,1200,644,106,57,1060000,4/9/2022,7/27/2016,Lifestyle,Delhi,65078833,9,9,Yes,Yes,Trustable,Ameya Nerkar
AbbyViral,https://www.youtube.com/watch?v=H5zW0eYrDhk,MAHABHARAT ?? ????? RAP ???,0:03:57,0,3,57,237,Hindi,Music,2075649,183000,882,7347,35,1060000,8/23/2022,7/27/2016,Lifestyle,Delhi,65078833,9,9,Yes,Yes,Trustable,Ameya Nerkar
AbbyViral,https://www.youtube.com/watch?v=nVjaMid3HpA,KALYUG VS KRISHNA RAP BATTLE MAHABHARAT FT. @Mr. $even,0:05:16,0,5,16,316,Hindi,Music,404868,30000,741,1347,33,1060000,9/9/2022,7/27/2016,Lifestyle,Delhi,65078833,9,9,Yes,Yes,Trustable,Ameya Nerkar
AbbyViral,https://www.youtube.com/watch?v=WqdYByAXnpU,???? POWERFUL RAP SONG on HANUMAN CHALISA | AbbyViral,0:03:50,0,3,50,230,Hindi,Music,49279,6900,1400,1012,205,1060000,10/16/2022,7/27/2016,Lifestyle,Delhi,65078833,9,9,Yes,Yes,Trustable,Ameya Nerkar
AbbyViral,https://www.youtube.com/watch?v=XBf5mRSkXHM,Let's Do It | Epic Motivational Video by Abby Viral | UNACADEMY | Abby Viral,0:10:09,0,10,9,609,Hindi,Music,134851,10000,742,371,28,1060000,11/29/2022,7/27/2016,Lifestyle,Delhi,65078833,9,9,Yes,Yes,Trustable,Ameya Nerkar
Abhi and Niyu,https://www.youtube.com/watch?v=2pOQQin4yJE,What is GDP with examples| | India GDP 2021,0:05:00,0,5,0,300,Hindi,Educational,560524,82000,1463,3938,70,3120000,9/9/2020,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=P9GbXGkbZ0k,Top Richest Temples of India | Richest Temples in the world are in India | Abhi and Niyu,0:06:32,0,6,32,392,Hindi,Vlog,1464073,153000,1045,9011,62,3140000,2/22/2021,4/3/2018,Educational,Maharashtra,426505856,9,10,Yes,Yes,Trustable,Ameya Nerkar
Abhi and Niyu,https://www.youtube.com/watch?v=k_indcC331o,Chattrapati Sambhaji Maharaj | The Forgotten Prince of India | Abhi and Niyu,0:06:52,0,6,52,412,Hindi,Vlog,2355943,282000,1197,15699,67,3140000,5/14/2021,4/3/2018,Educational,Maharashtra,426505856,9,10,Yes,Yes,Trustable,Ameya Nerkar
Abhi and Niyu,https://www.youtube.com/watch?v=7sXt_9G_v0U,Top 10 HIGHEST Paying Jobs in India,0:11:14,0,11,14,674,Hindi,Educational,1236894,106000,857,4177,34,3120000,5/26/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=r_x371_NmKA,Modern Lessons from Mahabharat for every Indian,0:06:35,0,6,35,395,Hindi,Educational,742372,174000,2344,12022,162,3120000,6/10/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=IJJ2DvMEpPo,8 Practical Lessons from Sri Krishna's life | Janmashtami Special,0:08:56,0,8,56,536,Hindi,Educational,984654,118000,1198,2881,29,3120000,8/30/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=kf4NwIfid3U,Air India sold to Tatas | Why is Air India special for Tatas?,0:06:17,0,6,17,377,Hindi,Educational,1067089,124000,1162,4417,41,3120000,10/9/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=NSl-MGN-2Es,Books that changed our lives | Top books to read 2021,0:07:35,0,7,35,455,Hindi,Educational,379458,39000,1028,15535,409,3120000,10/19/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=-RRomDkIUq4,Delhi air pollution is a climate emergency | Air pollution in Delhi explained by Abhi and Niyu,0:05:45,0,5,45,345,Hindi,Educational,604954,54000,893,2164,36,3120000,11/20/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=m_0SsMc8c80,"Secrets of Ancient Indian knowledge | Bramhastra, Spaceships & Time Travel",0:06:23,0,6,23,383,Hindi,Educational,834238,113000,1355,6882,82,3120000,11/25/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=jYFvmiXMeA0,Open letter to CDS General Bipin Rawat | Who is Bipin Rawat?,0:05:56,0,5,56,356,Hindi,Educational,538879,76000,1410,2018,37,3120000,12/10/2021,4/3/2018,News,Maharashtra,422639343,9,9,No,Not Required,Trustable,Abhishek Sabne
Abhi and Niyu,https://www.youtube.com/watch?v=fobFUISgj_M,Investing in your 20s can make you a CROREPATI | Investing for beginners | Abhi and Niyu,0:10:06,0,10,6,606,Hindi,Vlog,920631,76000,826,1062,12,3140000,12/21/2021,4/3/2018,Educational,Maharashtra,426505856,9,10,Yes,Yes,Trustable,Ameya Nerkar
